"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2023","2,435,000","2,449,000","2,455,000","2,430,000","3.09K","-0.57%"
"05/15/2023","2,449,000","2,434,000","2,486,000","2,417,000","1.10K","0.62%"
"05/14/2023","2,434,000","2,440,000","2,464,000","2,432,000","0.90K","-0.25%"
"05/13/2023","2,440,000","2,449,000","2,464,000","2,424,000","0.42K","-0.37%"
"05/12/2023","2,449,000","2,419,000","2,461,000","2,350,000","1.90K","1.24%"
"05/11/2023","2,419,000","2,469,000","2,473,000","2,406,000","1.89K","-2.03%"
"05/10/2023","2,469,000","2,483,000","2,528,000","2,442,000","3.04K","-0.56%"
"05/09/2023","2,483,000","2,485,000","2,502,000","2,454,000","1.50K","-0.08%"
"05/08/2023","2,485,000","2,512,000","2,526,000","2,458,000","2.27K","-1.07%"
"05/07/2023","2,512,000","2,541,000","2,577,000","2,508,000","1.10K","-1.14%"
"05/06/2023","2,541,000","2,641,000","2,670,000","2,506,000","4.97K","-3.75%"
"05/05/2023","2,640,000","2,508,000","2,654,000","2,505,000","2.72K","5.26%"
"05/04/2023","2,508,000","2,542,000","2,556,000","2,505,000","0.74K","-1.34%"
"05/03/2023","2,542,000","2,503,000","2,560,000","2,476,000","1.90K","1.52%"
"05/02/2023","2,504,000","2,462,000","2,521,000","2,443,000","1.50K","1.71%"
"05/01/2023","2,462,000","2,508,000","2,529,000","2,437,000","1.92K","-1.83%"
"04/30/2023","2,508,000","2,543,000","2,578,000","2,508,000","2.37K","-1.38%"
"04/29/2023","2,543,000","2,522,000","2,550,000","2,513,000","0.53K","0.83%"
"04/28/2023","2,522,000","2,545,000","2,562,000","2,509,000","0.86K","-0.90%"
"04/27/2023","2,545,000","2,498,000","2,583,000","2,491,000","1.62K","1.88%"
"04/26/2023","2,498,000","2,498,000","2,609,000","2,417,000","4.35K","0.00%"
"04/25/2023","2,498,000","2,463,000","2,515,000","2,414,000","2.31K","1.42%"
"04/24/2023","2,463,000","2,484,000","2,514,000","2,422,000","1.77K","-0.85%"
"04/23/2023","2,484,000","2,507,000","2,509,000","2,453,000","1.21K","-0.92%"
"04/22/2023","2,507,000","2,464,000","2,520,000","2,453,000","1.74K","1.79%"
"04/21/2023","2,463,000","2,586,000","2,598,000","2,436,000","3.81K","-4.76%"
"04/20/2023","2,586,000","2,574,000","2,627,000","2,556,000","2.04K","0.47%"
"04/19/2023","2,574,000","2,741,000","2,747,000","2,565,000","4.03K","-6.09%"
"04/18/2023","2,741,000","2,728,000","2,779,000","2,701,000","1.75K","0.48%"
"04/17/2023","2,728,000","2,768,000","2,768,000","2,707,000","0.94K","-1.37%"
"04/16/2023","2,766,000","2,750,000","2,785,000","2,732,000","1.81K","0.58%"
